// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\Kenny\coding\MayvueCodingClub\LLT\Benchmarking\bin\Release\net6.0\821e9c86-ce9a-4a02-a11d-d7097a42ae04
// command took 0.84s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\Kenny\coding\MayvueCodingClub\LLT\Benchmarking\bin\Release\net6.0\821e9c86-ce9a-4a02-a11d-d7097a42ae04
// command took 12.1s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\Kenny\coding\MayvueCodingClub\LLT\Benchmarking\bin\Release\net6.0\821e9c86-ce9a-4a02-a11d-d7097a42ae04
// command took 1.43s and exited with 0
// ***** Done, took 00:00:14 (14.42 sec)   *****
// Found 3 benchmarks:
//   LLTBenchmarks.BenchmarkKenny1: DefaultJob
//   LLTBenchmarks.BenchmarkKenny2: DefaultJob
//   LLTBenchmarks.BenchmarkKenny3: DefaultJob

// **************************
// Benchmark: LLTBenchmarks.BenchmarkKenny1: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "821e9c86-ce9a-4a02-a11d-d7097a42ae04.dll" --benchmarkName "Benchmarking.LLTBenchmarks.BenchmarkKenny1" --job "Default" --benchmarkId 0 in C:\Users\Kenny\coding\MayvueCodingClub\LLT\Benchmarking\bin\Release\net6.0\821e9c86-ce9a-4a02-a11d-d7097a42ae04\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 6.0.7 (6.0.722.32202), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 190100.00 ns, 190.1000 us/op
WorkloadJitting  1: 1 op, 804200.00 ns, 804.2000 us/op

OverheadJitting  2: 16 op, 247100.00 ns, 15.4437 us/op
WorkloadJitting  2: 16 op, 317700.00 ns, 19.8562 us/op

WorkloadPilot    1: 16 op, 68200.00 ns, 4.2625 us/op
WorkloadPilot    2: 32 op, 193000.00 ns, 6.0312 us/op
WorkloadPilot    3: 64 op, 450800.00 ns, 7.0438 us/op
WorkloadPilot    4: 128 op, 722700.00 ns, 5.6461 us/op
WorkloadPilot    5: 256 op, 1450600.00 ns, 5.6664 us/op
WorkloadPilot    6: 512 op, 2916300.00 ns, 5.6959 us/op
WorkloadPilot    7: 1024 op, 5927600.00 ns, 5.7887 us/op
WorkloadPilot    8: 2048 op, 10496100.00 ns, 5.1250 us/op
WorkloadPilot    9: 4096 op, 17593100.00 ns, 4.2952 us/op
WorkloadPilot   10: 8192 op, 34807800.00 ns, 4.2490 us/op
WorkloadPilot   11: 16384 op, 68543800.00 ns, 4.1836 us/op
WorkloadPilot   12: 32768 op, 135988400.00 ns, 4.1500 us/op
WorkloadPilot   13: 65536 op, 269757700.00 ns, 4.1162 us/op
WorkloadPilot   14: 131072 op, 543446200.00 ns, 4.1462 us/op

OverheadWarmup   1: 131072 op, 181500.00 ns, 1.3847 ns/op
OverheadWarmup   2: 131072 op, 180700.00 ns, 1.3786 ns/op
OverheadWarmup   3: 131072 op, 181600.00 ns, 1.3855 ns/op
OverheadWarmup   4: 131072 op, 225900.00 ns, 1.7235 ns/op
OverheadWarmup   5: 131072 op, 180800.00 ns, 1.3794 ns/op
OverheadWarmup   6: 131072 op, 180700.00 ns, 1.3786 ns/op
OverheadWarmup   7: 131072 op, 181300.00 ns, 1.3832 ns/op
OverheadWarmup   8: 131072 op, 180800.00 ns, 1.3794 ns/op

OverheadActual   1: 131072 op, 198000.00 ns, 1.5106 ns/op
OverheadActual   2: 131072 op, 247500.00 ns, 1.8883 ns/op
OverheadActual   3: 131072 op, 198100.00 ns, 1.5114 ns/op
