// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\Kenny\coding\MayvueCodingClub\LLT\Benchmarking\bin\Release\net6.0\fee3edd7-6ce9-4024-9dc2-91f71019cc71
// command took 0.86s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\Kenny\coding\MayvueCodingClub\LLT\Benchmarking\bin\Release\net6.0\fee3edd7-6ce9-4024-9dc2-91f71019cc71
// command took 12.07s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\Kenny\coding\MayvueCodingClub\LLT\Benchmarking\bin\Release\net6.0\fee3edd7-6ce9-4024-9dc2-91f71019cc71
// command took 1.43s and exited with 0
// ***** Done, took 00:00:14 (14.42 sec)   *****
// Found 3 benchmarks:
//   LLTBenchmarks.BenchmarkKenny1: DefaultJob
//   LLTBenchmarks.BenchmarkKenny2: DefaultJob
//   LLTBenchmarks.BenchmarkKenny3: DefaultJob

// **************************
// Benchmark: LLTBenchmarks.BenchmarkKenny1: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "fee3edd7-6ce9-4024-9dc2-91f71019cc71.dll" --benchmarkName "Benchmarking.LLTBenchmarks.BenchmarkKenny1" --job "Default" --benchmarkId 0 in C:\Users\Kenny\coding\MayvueCodingClub\LLT\Benchmarking\bin\Release\net6.0\fee3edd7-6ce9-4024-9dc2-91f71019cc71\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 6.0.7 (6.0.722.32202), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 154100.00 ns, 154.1000 us/op
WorkloadJitting  1: 1 op, 714600.00 ns, 714.6000 us/op

OverheadJitting  2: 16 op, 247100.00 ns, 15.4437 us/op
WorkloadJitting  2: 16 op, 344900.00 ns, 21.5562 us/op

WorkloadPilot    1: 16 op, 68400.00 ns, 4.2750 us/op
WorkloadPilot    2: 32 op, 232500.00 ns, 7.2656 us/op
WorkloadPilot    3: 64 op, 446500.00 ns, 6.9766 us/op
WorkloadPilot    4: 128 op, 874200.00 ns, 6.8297 us/op
WorkloadPilot    5: 256 op, 1437500.00 ns, 5.6152 us/op
WorkloadPilot    6: 512 op, 2933600.00 ns, 5.7297 us/op
WorkloadPilot    7: 1024 op, 5937200.00 ns, 5.7980 us/op
WorkloadPilot    8: 2048 op, 10612600.00 ns, 5.1819 us/op
WorkloadPilot    9: 4096 op, 17513300.00 ns, 4.2757 us/op
WorkloadPilot   10: 8192 op, 35322900.00 ns, 4.3119 us/op
WorkloadPilot   11: 16384 op, 69547000.00 ns, 4.2448 us/op
WorkloadPilot   12: 32768 op, 133818300.00 ns, 4.0838 us/op
WorkloadPilot   13: 65536 op, 271288800.00 ns, 4.1395 us/op
WorkloadPilot   14: 131072 op, 542076700.00 ns, 4.1357 us/op

OverheadWarmup   1: 131072 op, 181600.00 ns, 1.3855 ns/op
OverheadWarmup   2: 131072 op, 180700.00 ns, 1.3786 ns/op
OverheadWarmup   3: 131072 op, 225600.00 ns, 1.7212 ns/op
OverheadWarmup   4: 131072 op, 180300.00 ns, 1.3756 ns/op
OverheadWarmup   5: 131072 op, 180700.00 ns, 1.3786 ns/op
OverheadWarmup   6: 131072 op, 180400.00 ns, 1.3763 ns/op

OverheadActual   1: 131072 op, 198000.00 ns, 1.5106 ns/op
OverheadActual   2: 131072 op, 198000.00 ns, 1.5106 ns/op
OverheadActual   3: 131072 op, 198000.00 ns, 1.5106 ns/op
OverheadActual   4: 131072 op, 199600.00 ns, 1.5228 ns/op
OverheadActual   5: 131072 op, 197900.00 ns, 1.5099 ns/op
